"","DATE","ATM","Cash"
"690",40278,"ATM2",78
"691",40279,"ATM1",92
"692",40279,"ATM2",67
"693",40280,"ATM1",63
"694",40280,"ATM2",12
"695",40281,"ATM1",3
"696",40281,"ATM2",1
"697",40282,"ATM1",103
"698",40282,"ATM2",97
"699",40283,"ATM1",80
"700",40283,"ATM2",106
"701",40284,"ATM1",80
"702",40284,"ATM2",74
"703",40285,"ATM1",84
"704",40285,"ATM2",86
"705",40286,"ATM1",81
"706",40286,"ATM2",55
"707",40287,"ATM1",88
"708",40287,"ATM2",13
"709",40288,"ATM1",3
"710",40288,"ATM2",1
"711",40289,"ATM1",100
"712",40289,"ATM2",100
"713",40290,"ATM1",69
"714",40290,"ATM2",103
"715",40291,"ATM1",85
"716",40291,"ATM2",44
"717",40292,"ATM1",85
"718",40292,"ATM2",61
"719",40293,"ATM1",109
"720",40293,"ATM2",89
"721",40294,"ATM1",74
"722",40294,"ATM2",11
"723",40295,"ATM1",4
"724",40295,"ATM2",2
"725",40296,"ATM1",96
"726",40296,"ATM2",107
"727",40297,"ATM1",82
"728",40297,"ATM2",89
"729",40298,"ATM1",85
"730",40298,"ATM2",90
"731",40299,NA,NA
"732",40300,NA,NA
"733",40301,NA,NA
"734",40302,NA,NA
"735",40303,NA,NA
"736",40304,NA,NA
"737",40305,NA,NA
"738",40306,NA,NA
"739",40307,NA,NA
"740",40308,NA,NA
"741",40309,NA,NA
"742",40310,NA,NA
"743",40311,NA,NA
"744",40312,NA,NA
"745",39934,"ATM3",0
"746",39935,"ATM3",0
"747",39936,"ATM3",0
"748",39937,"ATM3",0
"749",39938,"ATM3",0
"750",39939,"ATM3",0
"751",39940,"ATM3",0
"752",39941,"ATM3",0
"753",39942,"ATM3",0
"754",39943,"ATM3",0
"755",39944,"ATM3",0
"756",39945,"ATM3",0
"757",39946,"ATM3",0
"758",39947,"ATM3",0
"759",39948,"ATM3",0
"760",39949,"ATM3",0
"761",39950,"ATM3",0
"762",39951,"ATM3",0
"763",39952,"ATM3",0
"764",39953,"ATM3",0
"765",39954,"ATM3",0
"766",39955,"ATM3",0
"767",39956,"ATM3",0
"768",39957,"ATM3",0
"769",39958,"ATM3",0
"770",39959,"ATM3",0
"771",39960,"ATM3",0
"772",39961,"ATM3",0
"773",39962,"ATM3",0
"774",39963,"ATM3",0
"775",39964,"ATM3",0
"776",39965,"ATM3",0
"777",39966,"ATM3",0
"778",39967,"ATM3",0
"779",39968,"ATM3",0
"780",39969,"ATM3",0
"781",39970,"ATM3",0
"782",39971,"ATM3",0
"783",39972,"ATM3",0
"784",39973,"ATM3",0
"785",39974,"ATM3",0
"786",39975,"ATM3",0
"787",39976,"ATM3",0
"788",39977,"ATM3",0
"789",39978,"ATM3",0
"790",39979,"ATM3",0
"791",39980,"ATM3",0
"792",39981,"ATM3",0
"793",39982,"ATM3",0
"794",39983,"ATM3",0
"795",39984,"ATM3",0
"796",39985,"ATM3",0
"797",39986,"ATM3",0
"798",39987,"ATM3",0
"799",39988,"ATM3",0
"800",39989,"ATM3",0
"801",39990,"ATM3",0
"802",39991,"ATM3",0
"803",39992,"ATM3",0
"804",39993,"ATM3",0
"805",39994,"ATM3",0
"806",39995,"ATM3",0
"807",39996,"ATM3",0
"808",39997,"ATM3",0
"809",39998,"ATM3",0
"810",39999,"ATM3",0
"811",40000,"ATM3",0
"812",40001,"ATM3",0
"813",40002,"ATM3",0
"814",40003,"ATM3",0
"815",40004,"ATM3",0
"816",40005,"ATM3",0
"817",40006,"ATM3",0
"818",40007,"ATM3",0
"819",40008,"ATM3",0
"820",40009,"ATM3",0
"821",40010,"ATM3",0
"822",40011,"ATM3",0
"823",40012,"ATM3",0
"824",40013,"ATM3",0
"825",40014,"ATM3",0
"826",40015,"ATM3",0
"827",40016,"ATM3",0
"828",40017,"ATM3",0
"829",40018,"ATM3",0
"830",40019,"ATM3",0
"831",40020,"ATM3",0
"832",40021,"ATM3",0
"833",40022,"ATM3",0
"834",40023,"ATM3",0
"835",40024,"ATM3",0
"836",40025,"ATM3",0
"837",40026,"ATM3",0
"838",40027,"ATM3",0
"839",40028,"ATM3",0
"840",40029,"ATM3",0
"841",40030,"ATM3",0
"842",40031,"ATM3",0
"843",40032,"ATM3",0
"844",40033,"ATM3",0
"845",40034,"ATM3",0
"846",40035,"ATM3",0
"847",40036,"ATM3",0
"848",40037,"ATM3",0
"849",40038,"ATM3",0
"850",40039,"ATM3",0
"851",40040,"ATM3",0
"852",40041,"ATM3",0
"853",40042,"ATM3",0
"854",40043,"ATM3",0
"855",40044,"ATM3",0
"856",40045,"ATM3",0
"857",40046,"ATM3",0
"858",40047,"ATM3",0
"859",40048,"ATM3",0
"860",40049,"ATM3",0
"861",40050,"ATM3",0
"862",40051,"ATM3",0
"863",40052,"ATM3",0
"864",40053,"ATM3",0
"865",40054,"ATM3",0
"866",40055,"ATM3",0
"867",40056,"ATM3",0
"868",40057,"ATM3",0
"869",40058,"ATM3",0
"870",40059,"ATM3",0
"871",40060,"ATM3",0
"872",40061,"ATM3",0
"873",40062,"ATM3",0
"874",40063,"ATM3",0
"875",40064,"ATM3",0
"876",40065,"ATM3",0
"877",40066,"ATM3",0
"878",40067,"ATM3",0
"879",40068,"ATM3",0
"880",40069,"ATM3",0
"881",40070,"ATM3",0
"882",40071,"ATM3",0
"883",40072,"ATM3",0
"884",40073,"ATM3",0
"885",40074,"ATM3",0
"886",40075,"ATM3",0
"887",40076,"ATM3",0
"888",40077,"ATM3",0
"889",40078,"ATM3",0
"890",40079,"ATM3",0
"891",40080,"ATM3",0
"892",40081,"ATM3",0
"893",40082,"ATM3",0
"894",40083,"ATM3",0
"895",40084,"ATM3",0
"896",40085,"ATM3",0
"897",40086,"ATM3",0
"898",40087,"ATM3",0
"899",40088,"ATM3",0
"900",40089,"ATM3",0
"901",40090,"ATM3",0
"902",40091,"ATM3",0
"903",40092,"ATM3",0
"904",40093,"ATM3",0
"905",40094,"ATM3",0
"906",40095,"ATM3",0
"907",40096,"ATM3",0
"908",40097,"ATM3",0
"909",40098,"ATM3",0
"910",40099,"ATM3",0
"911",40100,"ATM3",0
"912",40101,"ATM3",0
"913",40102,"ATM3",0
"914",40103,"ATM3",0
"915",40104,"ATM3",0
"916",40105,"ATM3",0
"917",40106,"ATM3",0
"918",40107,"ATM3",0
"919",40108,"ATM3",0
"920",40109,"ATM3",0
"921",40110,"ATM3",0
"922",40111,"ATM3",0
"923",40112,"ATM3",0
"924",40113,"ATM3",0
"925",40114,"ATM3",0
"926",40115,"ATM3",0
"927",40116,"ATM3",0
"928",40117,"ATM3",0
"929",40118,"ATM3",0
"930",40119,"ATM3",0
"931",40120,"ATM3",0
"932",40121,"ATM3",0
"933",40122,"ATM3",0
"934",40123,"ATM3",0
"935",40124,"ATM3",0
"936",40125,"ATM3",0
"937",40126,"ATM3",0
"938",40127,"ATM3",0
"939",40128,"ATM3",0
"940",40129,"ATM3",0
"941",40130,"ATM3",0
"942",40131,"ATM3",0
"943",40132,"ATM3",0
"944",40133,"ATM3",0
"945",40134,"ATM3",0
"946",40135,"ATM3",0
"947",40136,"ATM3",0
"948",40137,"ATM3",0
"949",40138,"ATM3",0
"950",40139,"ATM3",0
"951",40140,"ATM3",0
"952",40141,"ATM3",0
"953",40142,"ATM3",0
"954",40143,"ATM3",0
"955",40144,"ATM3",0
"956",40145,"ATM3",0
"957",40146,"ATM3",0
"958",40147,"ATM3",0
"959",40148,"ATM3",0
"960",40149,"ATM3",0
"961",40150,"ATM3",0
"962",40151,"ATM3",0
"963",40152,"ATM3",0
"964",40153,"ATM3",0
"965",40154,"ATM3",0
"966",40155,"ATM3",0
"967",40156,"ATM3",0
"968",40157,"ATM3",0
"969",40158,"ATM3",0
"970",40159,"ATM3",0
"971",40160,"ATM3",0
"972",40161,"ATM3",0
"973",40162,"ATM3",0
"974",40163,"ATM3",0
"975",40164,"ATM3",0
"976",40165,"ATM3",0
"977",40166,"ATM3",0
"978",40167,"ATM3",0
"979",40168,"ATM3",0
"980",40169,"ATM3",0
"981",40170,"ATM3",0
"982",40171,"ATM3",0
"983",40172,"ATM3",0
"984",40173,"ATM3",0
"985",40174,"ATM3",0
"986",40175,"ATM3",0
"987",40176,"ATM3",0
"988",40177,"ATM3",0
"989",40178,"ATM3",0
"990",40179,"ATM3",0
"991",40180,"ATM3",0
"992",40181,"ATM3",0
"993",40182,"ATM3",0
"994",40183,"ATM3",0
"995",40184,"ATM3",0
"996",40185,"ATM3",0
"997",40186,"ATM3",0
"998",40187,"ATM3",0
